????? ??????;;;;;;;;
;;;;;;;;
????????????? ??????????;;;;;;;;
????????????? R;0,595790171;;;;;;;
R-???????;0,354965928;;;;;;;
????????????? R-???????;0,350587869;;;;;;;
??????????? ??????;0,392125936;;;;;;;
??????????;891;;;;;;;
;;;;;;;;
????????????? ??????;;;;;;;;
;df;SS;MS;F;?????????? F;;;
?????????;6;74,80100199;12,46683366;81,07837359;8,55513E-81;;;
???????;884;135,9262707;0,15376275;;;;;
?????;890;210,7272727;;;;;;
;;;;;;;;
;????????????;??????????? ??????;t-??????????;P-????????;?????? 95%;??????? 95%;?????? 95,0%;??????? 95,0%
Y-???????????;-0,568652494;0,060173459;-9,45022118;2,93821E-20;-0,686752002;-0,450552985;-0,686752002;-0,450552985
?????????? X 1;0,10650982;0,017785794;5,988477015;3,07824E-09;0,07160251;0,141417129;0,07160251;0,141417129
?????????? X 2;0,489994824;0,028599147;17,13319685;4,8796E-57;0,433864673;0,546124974;0,433864673;0,546124974
?????????? X 3;-0,00053342;0,00081487;-0,65460716;0,512890989;-0,002132726;0,001065886;-0,002132726;0,001065886
?????????? X 4;0,030678941;0,014359561;2,136481804;0,03291419;0,002496132;0,058861751;0,002496132;0,058861751
?????????? X 5;0,001243169;0,000276626;4,49404123;7,9167E-06;0,000700249;0,00178609;0,000700249;0,00178609
?????????? X 6;0,052352882;0,02146184;2,439347305;0,014909536;0,010230776;0,094474988;0,010230776;0,094474988
